,idx,prices
0,0,650.0
1,1,899.99
2,2,1098.0
3,3,1184.0
4,4,1099.99
5,5,1100.0
6,6,1190.0
7,7,910.0
8,8,780.0
9,9,850.0
10,10,700.0
11,11,930.0
12,12,1399.95
13,13,700.0
14,14,1419.95
15,15,1479.99
16,16,1299.95
17,17,999.0
18,18,941.0
19,19,1200.0
20,20,1325.0
21,21,1075.0
22,22,829.0
23,23,999.0
24,24,15.69
25,25,1050.0
26,26,1225.0
27,27,790.0
28,28,847.12
29,29,1600.0
30,30,1309.0
31,31,1699.99
32,32,2177.77
33,33,159.99
34,34,1500.0
35,35,18.99
36,36,1374.99
37,37,950.0
38,38,1200.0
39,39,1225.0
40,40,910.0
41,41,1225.0
42,42,1349.99
43,43,1000.0
44,44,1299.98
45,45,1799.0
46,46,1299.0
47,47,888.0
48,48,2000.0
49,49,1230.0
50,50,680.0
51,51,1299.0
52,52,750.0
53,53,1350.0
54,54,9.99
55,55,999.0
56,56,1389.99
57,57,1284.0
58,58,1399.0
59,59,14.95
60,60,990.0
61,61,1900.0
62,62,1200.0
63,63,980.0
64,64,1215.0
65,65,1650.0
66,66,680.0
67,67,2449.95
68,68,892.12
69,69,1250.0
70,70,1371.11
71,71,810.0
72,72,79.99
73,73,1899.0
74,74,990.0
75,75,1339.95
76,76,810.0
77,77,1272.65
78,78,1025.0
79,79,998.0
80,80,2250.0
81,81,829.99
82,82,1550.0
83,83,1399.0
84,84,1379.99
85,85,296.0
86,86,1499.0
87,87,1378.28
88,88,1399.0
89,89,1300.0
90,90,750.0
91,91,174.19
92,92,1070.0
93,93,1600.0
94,94,1099.0
95,95,1399.0
96,96,1616.25
97,97,299.0
98,98,1398.99
99,99,1125.0
100,100,1339.99
101,101,1354.99
102,102,905.0
103,103,1359.99
104,104,700.0
105,105,1325.0
106,106,2549.99
107,107,690.0
108,108,1075.0
109,109,1025.0
110,110,1325.0
111,111,900.0
112,112,1379.0
113,113,800.0
114,114,1125.0
115,115,2300.0
116,116,399.0
117,117,842.0
118,118,990.0
119,119,900.0
120,120,1204.52
121,121,1298.0
122,122,1125.0
123,123,1100.0
124,124,1379.99
125,125,1298.0
126,126,1220.0
127,127,660.0
128,128,1550.0
129,129,920.99
130,130,650.0
131,131,399.0
132,132,899.0
133,133,27.45
134,134,1005.0
135,135,845.12
136,136,1350.0
137,137,1339.95
138,138,1299.69
139,139,2149.99
140,140,2199.99
141,141,1999.99
142,142,1000.0
143,143,970.0
144,144,1699.99
145,145,22.0
146,146,899.0
147,147,900.0
148,148,870.95
149,149,299.0
150,150,1649.0
151,151,17.97
152,152,2229.99
153,153,1050.0
154,154,999.0
155,155,929.9
156,156,1050.0
157,157,69.99
158,158,1200.0
159,159,1000.0
160,160,1599.99
161,161,1250.0
162,162,1399.95
163,163,1100.0
164,164,1089.99
165,165,799.0
166,166,525.0
167,167,1300.0
168,168,930.0
169,169,800.0
170,170,1074.95
171,171,1200.0
172,172,920.0
173,173,899.0
174,174,948.0
175,175,1099.49
176,176,1000.0
177,177,2299.99
178,178,2769.99
179,179,1999.95
180,180,2495.0
181,181,1114.99
182,182,949.0
183,183,870.0
184,184,899.99
185,185,850.0
186,186,970.0
187,187,1000.0
188,188,1349.99
189,189,899.0
190,190,850.0
191,191,1349.95
192,192,1150.0
193,193,660.0
194,194,1149.99
195,195,650.0
196,196,1349.99
197,197,134.92
198,198,640.0
199,199,650.0
200,200,1649.0
201,201,1401.0
202,202,1126.99
203,203,1999.98
204,204,1074.99
205,205,2224.99
206,206,1395.0
207,207,1846.0
208,208,650.0
209,209,660.0
210,210,660.0
211,211,1225.0
212,212,1295.0
213,213,1249.99
214,214,850.0
215,215,99.95
216,216,825.0
217,217,1295.0
218,218,1395.0
219,219,845.12
220,220,675.0
221,221,1200.0
222,222,8.95
223,223,680.0
224,224,109.99
225,225,1227.49
226,226,1300.0
227,227,1175.0
228,228,1318.99
229,229,1150.0
230,230,1450.0
231,231,1249.99
232,232,1329.97
233,233,1250.0
234,234,899.0
235,235,1429.0
236,236,850.0
237,237,1499.0
238,238,49.99
239,239,79.99
240,240,870.0
241,241,1375.0
242,242,1059.0
243,243,1375.0
244,244,999.0
245,245,1025.0
246,246,1299.99
247,247,355.0
248,248,900.0
249,249,1075.0
250,250,1295.0
251,251,1275.0
252,252,999.98
253,253,1079.95
254,254,830.0
255,255,1125.0
256,256,1125.0
257,257,680.0
258,258,1100.0
259,259,2198.5
260,260,900.0
261,261,399.0
262,262,1245.0
263,263,1010.0
264,264,1300.0
265,265,1029.99
266,266,1200.0
267,267,2319.99
268,268,1100.0
269,269,902.0
270,270,910.0
271,271,1450.0
272,272,799.9
273,273,1249.0
274,274,850.0
275,275,2349.99
276,276,690.0
277,277,899.0
278,278,999.99
279,279,680.0
280,280,690.0
281,281,690.0
282,282,690.0
283,283,690.0
284,284,970.0
285,285,1245.0
286,286,950.0
287,287,1339.94
288,288,1050.0
289,289,2659.0
290,290,1199.0
291,291,1190.0
292,292,500.0
293,293,902.0
294,294,1479.99
295,295,849.0
296,296,1225.0
297,297,2699.99
298,298,1200.0
299,299,1150.0
300,300,1150.0
301,301,2374.97
302,302,1699.99
303,303,1050.0
304,304,899.0
305,305,839.0
306,306,888.0
307,307,2299.99
308,308,890.0
309,309,2649.99
310,310,1009.0
311,311,890.0
312,312,1168.0
313,313,689.0
314,314,1049.99
315,315,839.0
316,316,2190.0
317,317,1095.0
318,318,689.0
319,319,680.0
320,320,1079.99
321,321,680.0
322,322,1800.0
323,323,6400.0
324,324,2849.99
325,325,150.0
326,326,1025.0
327,327,1150.0
328,328,690.0
329,329,690.0
330,330,675.0
331,331,1375.0
332,332,876.1
333,333,21.61
334,334,850.0
335,335,1900.0
336,336,999.0
337,337,850.0
338,338,690.0
339,339,800.0
340,340,1100.0
341,341,1299.0
342,342,690.0
343,343,680.0
344,344,1126.0
345,345,675.0
346,346,1625.0
347,347,1225.0
348,348,690.0
349,349,690.0
350,350,680.0
351,351,800.0
352,352,670.0
353,353,899.0
354,354,740.0
355,355,846.99
356,356,850.0
357,357,690.0
358,358,1329.9
359,359,970.0
360,360,985.01
361,361,800.0
362,362,1024.24
363,363,910.0
364,364,770.0
365,365,1050.0
366,366,690.0
367,367,1599.99
368,368,680.0
369,369,1249.0
370,370,690.0
371,371,1225.0
372,372,690.0
373,373,684.0
374,374,689.0
375,375,1500.0
376,376,690.0
377,377,2149.0
378,378,998.0
379,379,700.0
380,380,1550.0
381,381,1299.99
382,382,837.12
383,383,973.0
384,384,850.0
385,385,820.0
386,386,1299.99
387,387,1102.0
388,388,1195.0
389,389,1249.95
390,390,1500.0
391,391,800.0
392,392,899.0
393,393,999.99
394,394,1199.0
395,395,670.0
396,396,1484.99
397,397,599.0
398,398,599.0
399,399,1215.0
400,400,1479.99
401,401,1649.99
402,402,699.0
403,403,699.0
404,404,1000.0
405,405,830.0
406,406,899.0
407,407,870.0
408,408,1360.0
409,409,1250.0
410,410,1550.0
411,411,1099.0
412,412,1150.0
413,413,1550.0
414,414,1399.99
415,415,1285.0
416,416,1099.0
417,417,895.0
418,418,349.99
419,419,999.99
420,420,740.0
421,421,999.99
422,422,1499.99
423,423,1250.0
424,424,2799.95
425,425,1300.0
426,426,1699.0
427,427,1449.99
428,428,1389.0
429,429,970.0
430,430,1299.99
431,431,860.0
432,432,1225.0
433,433,880.0
434,434,699.0
435,435,4999.0
436,436,1000.0
437,437,1399.0
438,438,1650.0
439,439,740.0
440,440,1059.95
441,441,915.0
442,442,1150.0
443,443,889.0
444,444,1150.0
445,445,2000.0
446,446,2139.99
447,447,1254.99
448,448,1310.0
449,449,1600.0
450,450,1325.0
451,451,1349.0
452,452,1700.0
453,453,1709.7
454,454,1549.0
455,455,1300.0
456,456,1200.0
457,457,1295.0
458,458,1570.0
459,459,1895.0
460,460,999.99
461,461,1075.0
462,462,839.0
463,463,1899.99
464,464,955.0
465,465,1300.0
466,466,1274.0
467,467,789.0
468,468,17.29
469,469,1169.69
470,470,1198.99
471,471,79.99
472,472,1137.56
473,473,349.99
474,474,999.0
475,475,1199.0
476,476,689.0
477,477,500.0
478,478,1300.0
479,479,91.0
480,480,850.0
481,481,1570.0
482,482,1918.9
483,483,780.0
484,484,880.0
485,485,917.0
486,486,876.99
487,487,900.0
488,488,1099.99
489,489,699.0
490,490,699.0
491,491,1400.0
492,492,2399.99
493,493,1269.77
494,494,350.0
495,495,699.0
496,496,1199.99
497,497,1388.01
498,498,910.0
499,499,27.88
500,500,1299.99
501,501,1417.66
502,502,630.0
503,503,942.0
504,504,500.0
505,505,1269.0
506,506,930.0
507,507,1199.0
508,508,1150.0
509,509,1199.0
510,510,1680.0
511,511,1197.55
512,512,1109.99
513,513,1029.99
514,514,890.0
515,515,1889.99
516,516,900.0
517,517,1105.0
518,518,1100.0
519,519,1119.99
520,520,1000.0
521,521,881.0
522,522,1050.0
523,523,3459.46
524,524,980.0
525,525,1325.0
526,526,495.07
527,527,145.0
528,528,1459.99
529,529,1075.0
530,530,1209.99
531,531,1889.0
532,532,1199.99
533,533,1150.0
534,534,1950.0
535,535,1219.99
536,536,39.99
537,537,1025.0
538,538,99.95
539,539,921.0
540,540,903.0
541,541,840.0
542,542,900.0
543,543,1125.0
544,544,1749.0
545,545,1117.0
546,546,58.0
547,547,630.0
548,548,1039.99
549,549,1795.0
550,550,1579.0
551,551,845.12
552,552,299.0
553,553,1099.0
554,554,798.0
555,555,979.95
556,556,1149.95
557,557,799.0
558,558,920.0
559,559,1050.0
560,560,1199.0
561,561,796.0
562,562,1275.0
563,563,880.0
564,564,869.0
565,565,798.0
566,566,898.0
567,567,1195.0
568,568,1399.99
569,569,845.12
570,570,799.0
571,571,955.0
572,572,1150.0
573,573,349.0
574,574,1299.99
575,575,1475.0
576,576,1225.0
577,577,1025.0
578,578,1299.99
579,579,1459.99
580,580,1150.0
581,581,1225.0
582,582,849.12
583,583,1000.0
584,584,1179.95
585,585,995.0
586,586,800.0
587,587,1250.0
588,588,970.0
589,589,599.0
590,590,1050.0
591,591,1489.95
592,592,950.0
593,593,1032.0
594,594,796.89
595,595,1249.99
596,596,1099.95
597,597,845.12
598,598,800.0
599,599,1251.0
600,600,1045.0
601,601,1299.99
602,602,500.0
603,603,500.0
604,604,1449.0
605,605,895.0
606,606,1249.0
607,607,940.0
608,608,1100.0
609,609,1150.0
610,610,1125.0
611,611,1150.0
612,612,1149.0
613,613,1500.0
614,614,1225.0
615,615,1109.99
616,616,2100.0
617,617,1629.99
618,618,1449.99
619,619,1595.0
620,620,405.0
621,621,1449.95
622,622,1250.0
623,623,845.12
624,624,948.0
625,625,1000.0
626,626,1129.0
627,627,1025.0
628,628,1250.0
629,629,845.12
630,630,1690.0
631,631,1225.0
632,632,1150.0
633,633,310.0
634,634,1000.0
635,635,1025.0
636,636,1000.0
637,637,405.0
638,638,910.0
639,639,1075.0
640,640,710.0
641,641,1000.0
642,642,2350.0
643,643,920.0
644,644,899.9
645,645,2800.0
646,646,1239.99
647,647,938.0
648,648,405.0
649,649,1300.0
650,650,463.0
651,651,1300.0
652,652,999.0
653,653,948.0
654,654,1459.99
655,655,1699.99
656,656,1379.95
657,657,1199.95
658,658,599.0
659,659,1350.0
660,660,931.0
661,661,1650.0
662,662,1149.0
663,663,1025.0
664,664,1335.0
665,665,1099.95
666,666,460.0
667,667,845.12
668,668,1655.0
669,669,1425.0
670,670,200.0
671,671,1147.0
672,672,1275.0
673,673,964.0
674,674,1075.0
675,675,1450.0
676,676,200.0
677,677,460.0
678,678,1459.71
